Model,MAE,RMSE,MASE,Dir.Acc%,Var.Ratio,Pearson R,rank_mae,rank_mase,rank_dir,rank_vr,rank_r,composite_score
"SARIMA(1, 1, 1)x(1, 0, 1, 6)",3.1735,3.8618,0.5541,66.7,1.2912,0.3024,2.0,2.0,1.0,1.0,1.0,1.4999999999999998
HW Level Only (SES baseline),2.75,3.0606,0.4802,0.0,0.0,,1.0,1.0,4.0,4.0,,2.65
Linear Regression,3.7312,4.6354,0.6515,33.3,0.0119,0.2582,3.0,3.0,3.0,3.0,2.0,2.8499999999999996
Moving Average (w=2),4.25,4.7037,0.7421,0.0,0.5782,-0.5278,4.0,4.0,4.0,2.0,4.0,3.6999999999999997
Seasonal Naive (s=6),5.75,6.7639,1.004,66.7,3.7551,-0.0562,5.0,5.0,1.0,5.0,3.0,3.9000000000000004
